worker,task_type,size,repeat,pair_index,duration_ms,error,cpu_util_pct,ram_usage_kib,ram_max_kib,cpu_limit_cores,metrics_error
worker2:2002,monte_carlo,6000000,1,0,1713,,49.16,11716.00,512000.00,0.50,
worker4:2004,mat_mul,150,2,0,411,,92.31,8776.00,1048576.00,1.00,
worker3:2003,mat_mul,100,1,0,115,,73.89,10208.00,819200.00,0.80,
worker5:2005,mat_mul,150,3,0,311,,79.89,8564.00,1572864.00,1.50,
worker3:2003,mat_mul,100,2,0,212,,73.89,10208.00,819200.00,0.80,
worker4:2004,mat_mul,150,3,0,313,,70.60,8412.00,1048576.00,1.00,
worker6:2006,mat_mul,150,3,0,416,,73.20,8660.00,2097152.00,2.00,
worker3:2003,mat_mul,100,3,0,211,,73.89,10208.00,819200.00,0.80,
worker3:2003,mat_mul,150,1,0,414,,73.89,10208.00,819200.00,0.80,
worker4:2004,mat_mul,200,1,0,610,,70.60,8412.00,1048576.00,1.00,
worker6:2006,mat_mul,200,1,0,615,,73.20,8660.00,2097152.00,2.00,
worker5:2005,mat_mul,200,1,0,710,,79.89,8564.00,1572864.00,1.50,
worker3:2003,mat_mul,150,2,0,414,,57.54,13952.00,819200.00,0.80,
worker1:2001,monte_carlo,4000000,3,0,1717,,29.79,11656.00,307200.00,0.30,
worker2:2002,monte_carlo,6000000,2,0,1612,,50.52,11716.00,512000.00,0.50,
worker4:2004,mat_mul,200,2,0,719,,84.15,8416.00,1048576.00,1.00,
worker5:2005,mat_mul,200,2,0,710,,89.60,8492.00,1572864.00,1.50,
worker6:2006,mat_mul,200,2,0,710,,86.30,16836.00,2097152.00,2.00,
worker3:2003,mat_mul,150,3,0,420,,57.54,13952.00,819200.00,0.80,
worker4:2004,mat_mul,200,3,0,713,,84.15,8416.00,1048576.00,1.00,
worker6:2006,mat_mul,200,3,0,711,,86.30,16836.00,2097152.00,2.00,
worker5:2005,mat_mul,200,3,0,811,,89.60,8492.00,1572864.00,1.50,
